央视频道,#genre#
睛彩篮球,http://192.168.28.1:23234/rtp/225.1.8.212:8002
睛彩羽毛球,http://192.168.28.1:23234/rtp/225.1.8.214:8002
睛彩广场舞,http://192.168.28.1:23234/rtp/225.1.8.215:8002
快乐垂钓,http://192.168.28.1:23234/rtp/225.1.8.71:8002
茶频道,http://192.168.28.1:23234/rtp/225.1.8.72:8002
大健康,http://192.168.28.1:23234/rtp/225.1.8.39:8002
淘精彩,http://192.168.28.1:23234/rtp/225.1.8.33:8002
淘Baby,http://192.168.28.1:23234/rtp/225.1.8.36:8002
淘剧场,http://192.168.28.1:23234/rtp/225.1.8.37:8002
淘电影,http://192.168.28.1:23234/rtp/225.1.8.38:8002
萌宠TV,http://192.168.28.1:23234/rtp/225.1.8.63:8002
热播剧场,http://192.168.28.1:23234/rtp/225.1.8.202:9020
经典电影,http://192.168.28.1:23234/rtp/225.1.8.203:9024
城市剧场,http://192.168.28.1:23234/rtp/225.1.8.227:4120
军旅剧场,http://192.168.28.1:23234/rtp/225.1.8.228:4120
古装剧场,http://192.168.28.1:23234/rtp/225.1.8.229:4120
武侠剧场,http://192.168.28.1:23234/rtp/225.1.8.250:4120
喜剧影院,http://192.168.28.1:23234/rtp/225.1.8.251:4120
动作影院,http://192.168.28.1:23234/rtp/225.1.8.252:4120
家庭影院,http://192.168.28.1:23234/rtp/225.1.8.253:4120
魅力时尚,http://192.168.28.1:23234/rtp/225.1.8.204:9012
少儿动画,http://192.168.28.1:23234/rtp/225.1.8.207:9000
音乐现场,http://192.168.28.1:23234/rtp/225.1.8.230:4120
星影,http://192.168.28.1:23234/rtp/225.1.8.254:4120
地理,http://192.168.28.1:23234/rtp/225.1.8.231:4120
美妆,http://192.168.28.1:23234/rtp/225.1.8.232:4120
美人,http://192.168.28.1:23234/rtp/225.1.8.233:4120
精选,http://192.168.28.1:23234/rtp/225.1.8.234:4120
解密,http://192.168.28.1:23234/rtp/225.1.8.235:4120
军事,http://192.168.28.1:23234/rtp/225.1.8.236:4120
国学,http://192.168.28.1:23234/rtp/225.1.8.237:4120
戏曲,http://192.168.28.1:23234/rtp/225.1.8.238:4120
早教,http://192.168.28.1:23234/rtp/225.1.8.239:4120
动画,http://192.168.28.1:23234/rtp/225.1.8.240:4120
好学生,http://192.168.28.1:23234/rtp/225.1.8.241:4120
鉴赏,http://192.168.28.1:23234/rtp/225.1.8.242:4120
墨宝,http://192.168.28.1:23234/rtp/225.1.8.243:4120
光影,http://192.168.28.1:23234/rtp/225.1.8.244:4120
台球,http://192.168.28.1:23234/rtp/225.1.8.245:4120
爱生活,http://192.168.28.1:23234/rtp/225.1.8.246:4120
武术,http://192.168.28.1:23234/rtp/225.1.8.247:4120
高网,http://192.168.28.1:23234/rtp/225.1.8.248:4120
足球,http://192.168.28.1:23234/rtp/225.1.8.249:4120
文化北京,http://192.168.28.1:23234/rtp/225.1.8.223:2000
体育赛事,http://192.168.28.1:23234/rtp/225.1.8.81:8176
熊猫频道,http://192.168.28.1:23234/rtp/225.1.8.210:8068
百视通,http://192.168.28.1:23234/rtp/225.1.8.223:2000
收视指南,http://192.168.28.1:23234/rtp/225.1.8.201:8012
新闻综合,http://play.live.lijiangtv.com/live/tvzh.m3u8
文化旅游,http://play.live.lijiangtv.com/live/tvgg.m3u8
重温经典,http://1.62.64.234/0b926d37065dc656266be75dd9d25565.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225563/index.m3u8
苏州4K,http://liveshowbak2.kan0512.com/ksz-norecord/csztv4k_4k.m3u8
纪实科教8K,http://49.7.69.235/downflv.brtvcloud.com/8klive/8kliveok.m3u8
凤凰中文,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226547/index.m3u8
凤凰资讯,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226546/index.m3u8
CHC动作电影,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226465/index.m3u8
CHC家庭影院,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226462/index.m3u8
CHC高清电影,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226463/index.m3u8
